"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
74924;0;143;"Gunar Conrad";"Stephan";"Marokko, die anonyme Front";"Burmester";"Bremen";"1934";;;;;"Stephan, Gunar Conrad: Marokko, die anonyme Front. Bremen: Burmester 1934.";"parsed"
74925;1;143;"Fedor";"Stepun";"Theater und Kino";"Bühnenvolksbundverl.";"Berlin";"1932";;;;;"Stepun, Fedor: Theater und Kino. Berlin: Bühnenvolksbundverl. 1932.";"parsed"
74923;0;143;"Alexander Graf";"Stenbock-Fermor";"Freiwilliger Stenbock";"Engelhorn";"Stuttgart";"1929";;;;;"Stenbock-Fermor, Alexander Graf: Freiwilliger Stenbock. Stuttgart: Engelhorn 1929.";"parsed"
74922;0;143;"Alexander Graf";"Stenbock-Fermor";"Meine Erlebnisse als Bergarbeiter";"Engelhorn";"Stuttgart";"1928";;;;;"Stenbock-Fermor, Alexander Graf: Meine Erlebnisse als Bergarbeiter. Stuttgart: Engelhorn 1928.";"parsed"
74920;0;143;"Georg";"Steklow";"Michael Bakunin";"Dietz";"Stuttgart";"1913";;;;;"Steklow, Georg: Michael Bakunin. Stuttgart: Dietz 1913.";"parsed"
74921;0;143;"Alexander Graf";"Stenbock-Fermor";"Deutschland von unten";"Engelhorn";"Stuttgart";"1931";;;;;"Stenbock-Fermor, Alexander Graf: Deutschland von unten. Stuttgart: Engelhorn 1931.";"parsed"
74919;0;143;"Wilhelm";"Stekel";"Sämtliche Schriften";;;;;;;;"Stekel, Wilhelm: Sämtliche Schriften.";"parsed"
74918;0;143;"A.";"Steininger";"Weltbrand 1950";"Dt. Vereinsdruckerei";"Berlin";"1932";;;;;"Steininger, A.: Weltbrand 1950. Berlin: Dt. Vereinsdruckerei 1932.";"parsed"
74917;1;143;"Hermann";"Steinhausen";"Die Zukunft der Freiheit";"Europa-Verl.";"Zürich";"1937";;;;;"Steinhausen, Hermann: Die Zukunft der Freiheit. Zürich: Europa-Verl. 1937.";"parsed"
74916;0;143;"Gustav";"Steinhauer";"Der Detektiv des Kaisers";"Oestergaard";"Berlin";"1932";;;;;"Steinhauer, Gustav: Der Detektiv des Kaisers. Berlin: Oestergaard 1932.";"parsed"
74914;0;143;"Julius";"Steinhardt";"Unser Hermann Göring";"Ensslin & Laiblin";"Reutlingen";"1934";;;;;"Steinhardt, Julius: Unser Hermann Göring. Reutlingen: Ensslin & Laiblin 1934.";"parsed"
74915;0;143;"Julius";"Steinhardt";"Grausamkeit und Liebe";"Eden-Verl.";"Berlin";"1932";;;;;"Steinhardt, Julius: Grausamkeit und Liebe. Berlin: Eden-Verl. 1932.";"parsed"
74913;0;143;"Ferdinand";"Steingiesser";"Das Geschlechtsleben der Heiligen";"Walther";"Berlin";"1902";;;;;"Steingiesser, Ferdinand: Das Geschlechtsleben der Heiligen. Berlin: Walther 1902.";"parsed"
74912;1;141;"Johannes";"Steel";"Hitler as Frankenstein";"Wishart";"London";"1933";;;;;"Steel, Johannes: Hitler as Frankenstein. London: Wishart 1933.";"parsed"
74911;1;141;"Johannes";"Steel";"Escape to the present";"Harrar";"New York";"1937";;;;;"Steel, Johannes: Escape to the present. New York: Harrar 1937.";"parsed"
74910;1;141;"Wickham";"Steed";"Hitler, whence and whither";"Nisbet";"London";"1934";;;;;"Steed, Wickham: Hitler, whence and whither. London: Nisbet 1934.";"parsed"
74909;0;141;"Kurt";"Stechert";"Palästinabericht eines Nichtjuden";"Prager";"Leipzig";"1934";;;;;"Stechert, Kurt: Palästinabericht eines Nichtjuden. Leipzig: Prager 1934.";"parsed"
74908;0;141;"Wladimir";"Stawski";"Sturm über der Staniza";"Verl. f. Lit. u. Politik";"Wien";"1932";;;;;"Stawski, Wladimir: Sturm über der Staniza. Wien: Verl. f. Lit. u. Politik 1932.";"parsed"
74907;0;141;"Ernst Rüdiger";"Starhemberg";"Reden des Vizekanzlers. Wien: Manz 1935. Starke, Ottomar: Schippeliana";"Wolff";"Leipzig";"1917";;;;;"Starhemberg, Ernst Rüdiger: Reden des Vizekanzlers. Wien: Manz 1935. Starke, Ottomar: Schippeliana. Leipzig: Wolff 1917.";"parsed"
74906;0;141;"N. A.";"Stankoff";"Im Dienste des Kapitals";"Reinhardt";"München";"1928";"Auf dem Wege zum Bolschewismus.";"2. Aufl. u. d. T.";"1933";;"Stankoff, N. A.: Im Dienste des Kapitals. München: Reinhardt 1928. — 2. Aufl. u. d. T.: Auf dem Wege zum Bolschewismus. 1933.";"parsed"
74904;0;141;"Friedrich";"Stampfer";"Sämtliche Schriften";;;;;;;;"Stampfer, Friedrich: Sämtliche Schriften.";"parsed"
